classname	QC;CnotQ;QnotC;notCnotQ	p_value	q_value
meo:MEO_0000588	0;98;57;173204	1.0	1.0
meo:MEO_0000589	0;26;57;173276	1.0	1.0
meo:MEO_0000591	0;474;57;172828	1.0	1.0
meo:MEO_0000592	0;525;57;172777	1.0	1.0
meo:MEO_0000594	0;786;57;172516	1.0	1.0
meo:MEO_0000595	0;1611;57;171691	1.0	1.0
meo:MEO_0000596	0;35;57;173267	1.0	1.0
meo:MEO_0000598	0;20;57;173282	1.0	1.0
meo:MEO_0000599	0;5443;57;167859	1.0	1.0
meo:MEO_0000601	0;207;57;173095	1.0	1.0
meo:MEO_0000602	0;2761;57;170541	1.0	1.0
meo:MEO_0000603	0;108;57;173194	1.0	1.0
meo:MEO_0000604	0;12;57;173290	1.0	1.0
meo:MEO_0000605	0;12;57;173290	1.0	1.0
meo:MEO_0000607	0;13;57;173289	1.0	1.0
meo:MEO_0000608	0;12;57;173290	1.0	1.0
meo:MEO_0000612	0;2990;57;170312	1.0	1.0
meo:MEO_0000615	0;301;57;173001	1.0	1.0
meo:MEO_0000629	0;14;57;173288	1.0	1.0
meo:MEO_0000630	0;44;57;173258	1.0	1.0
meo:MEO_0000637	0;1;57;173301	1.0	1.0
meo:MEO_0000638	0;60;57;173242	1.0	1.0
meo:MEO_0000639	0;29;57;173273	1.0	1.0
meo:MEO_0000640	0;154;57;173148	1.0	1.0
meo:MEO_0000641	0;2;57;173300	1.0	1.0
meo:MEO_0000642	0;3;57;173299	1.0	1.0
meo:MEO_0000643	0;1177;57;172125	1.0	1.0
meo:MEO_0000645	0;1;57;173301	1.0	1.0
meo:MEO_0000647	0;4;57;173298	1.0	1.0
meo:MEO_0000649	0;36;57;173266	1.0	1.0
meo:MEO_0000651	0;1;57;173301	1.0	1.0
meo:MEO_0000653	0;1;57;173301	1.0	1.0
meo:MEO_0000654	0;1;57;173301	1.0	1.0
meo:MEO_0000658	0;171;57;173131	1.0	1.0
meo:MEO_0000659	0;15;57;173287	1.0	1.0
meo:MEO_0000660	0;29;57;173273	1.0	1.0
meo:MEO_0000664	0;32;57;173270	1.0	1.0
meo:MEO_0000666	0;10;57;173292	1.0	1.0
meo:MEO_0000669	0;3;57;173299	1.0	1.0
meo:MEO_0000670	0;16;57;173286	1.0	1.0
meo:MEO_0000671	0;206;57;173096	1.0	1.0
meo:MEO_0000681	0;5;57;173297	1.0	1.0
meo:MEO_0000682	0;26;57;173276	1.0	1.0
meo:MEO_0000684	0;13;57;173289	1.0	1.0
meo:MEO_0000687	0;30;57;173272	1.0	1.0
meo:MEO_0000688	0;3;57;173299	1.0	1.0
meo:MEO_0000690	0;21;57;173281	1.0	1.0
meo:MEO_0000691	0;12;57;173290	1.0	1.0
meo:MEO_0000692	0;3;57;173299	1.0	1.0
meo:MEO_0000695	0;25;57;173277	1.0	1.0
meo:MEO_0000696	0;28;57;173274	1.0	1.0
meo:MEO_0000699	0;48;57;173254	1.0	1.0
meo:MEO_0000700	0;56;57;173246	1.0	1.0
meo:MEO_0000701	0;1;57;173301	1.0	1.0
meo:MEO_0000702	0;125;57;173177	1.0	1.0
meo:MEO_0000704	0;105;57;173197	1.0	1.0
meo:MEO_0000705	0;117;57;173185	1.0	1.0
meo:MEO_0000706	0;1;57;173301	1.0	1.0
meo:MEO_0000711	0;12;57;173290	1.0	1.0
meo:MEO_0000714	0;138;57;173164	1.0	1.0
meo:MEO_0000716	0;51;57;173251	1.0	1.0
meo:MEO_0000717	0;736;57;172566	1.0	1.0
meo:MEO_0000719	0;2;57;173300	1.0	1.0
meo:MEO_0000722	0;16;57;173286	1.0	1.0
meo:MEO_0000724	0;49;57;173253	1.0	1.0
meo:MEO_0000725	0;12;57;173290	1.0	1.0
meo:MEO_0000729	0;1;57;173301	1.0	1.0
meo:MEO_0000734	0;3;57;173299	1.0	1.0
meo:MEO_0000735	0;65;57;173237	1.0	1.0
meo:MEO_0000736	0;2;57;173300	1.0	1.0
meo:MEO_0000738	0;5;57;173297	1.0	1.0
meo:MEO_0000739	0;18;57;173284	1.0	1.0
meo:MEO_0000740	0;138;57;173164	1.0	1.0
meo:MEO_0000741	0;11;57;173291	1.0	1.0
meo:MEO_0000743	0;1;57;173301	1.0	1.0
meo:MEO_0000744	0;1;57;173301	1.0	1.0
meo:MEO_0000745	0;17;57;173285	1.0	1.0
meo:MEO_0000748	0;185;57;173117	1.0	1.0
meo:MEO_0000750	0;3;57;173299	1.0	1.0
meo:MEO_0000751	0;21;57;173281	1.0	1.0
meo:MEO_0000752	0;45;57;173257	1.0	1.0
meo:MEO_0000754	0;16;57;173286	1.0	1.0
meo:MEO_0000755	0;132;57;173170	1.0	1.0
meo:MEO_0000759	0;76;57;173226	1.0	1.0
meo:MEO_0000762	0;10;57;173292	1.0	1.0
meo:MEO_0000764	0;20;57;173282	1.0	1.0
meo:MEO_0000766	0;1;57;173301	1.0	1.0
meo:MEO_0000767	0;1;57;173301	1.0	1.0
meo:MEO_0000769	0;4;57;173298	1.0	1.0
meo:MEO_0000770	0;12;57;173290	1.0	1.0
meo:MEO_0000771	0;1;57;173301	1.0	1.0
meo:MEO_0000774	0;2;57;173300	1.0	1.0
meo:MEO_0000779	0;916;57;172386	1.0	1.0
meo:MEO_0000781	0;7;57;173295	1.0	1.0
meo:MEO_0000789	0;194;57;173108	1.0	1.0
meo:MEO_0000790	0;7;57;173295	1.0	1.0
meo:MEO_0000792	0;16;57;173286	1.0	1.0
meo:MEO_0000793	0;17;57;173285	1.0	1.0
meo:MEO_0000794	0;2137;57;171165	1.0	1.0
meo:MEO_0000801	0;7;57;173295	1.0	1.0
meo:MEO_0000809	0;4;57;173298	1.0	1.0
meo:MEO_0000813	0;3;57;173299	1.0	1.0
meo:MEO_0000814	0;304;57;172998	1.0	1.0
meo:MEO_0000815	0;1;57;173301	1.0	1.0
meo:MEO_0000816	0;35;57;173267	1.0	1.0
meo:MEO_0000818	0;81;57;173221	1.0	1.0
meo:MEO_0000823	0;79;57;173223	1.0	1.0
meo:MEO_0000824	0;230;57;173072	1.0	1.0
meo:MEO_0000826	0;42;57;173260	1.0	1.0
meo:MEO_0000827	0;1;57;173301	1.0	1.0
meo:MEO_0000829	0;442;57;172860	1.0	1.0
meo:MEO_0000831	0;1;57;173301	1.0	1.0
meo:MEO_0000832	0;12;57;173290	1.0	1.0
meo:MEO_0000835	0;294;57;173008	1.0	1.0
meo:MEO_0000836	0;41;57;173261	1.0	1.0
meo:MEO_0000839	0;25;57;173277	1.0	1.0
meo:MEO_0000840	0;2502;57;170800	1.0	1.0
meo:MEO_0000842	0;32;57;173270	1.0	1.0
meo:MEO_0000844	0;96;57;173206	1.0	1.0
meo:MEO_0000845	0;57;57;173245	1.0	1.0
meo:MEO_0000846	0;25;57;173277	1.0	1.0
meo:MEO_0000847	0;683;57;172619	1.0	1.0
meo:MEO_0000848	0;112;57;173190	1.0	1.0
meo:MEO_0000850	0;349;57;172953	1.0	1.0
meo:MEO_0000852	0;49;57;173253	1.0	1.0
meo:MEO_0000858	0;2;57;173300	1.0	1.0
meo:MEO_0000862	0;664;57;172638	1.0	1.0
meo:MEO_0000864	0;32;57;173270	1.0	1.0
meo:MEO_0000865	0;21;57;173281	1.0	1.0
meo:MEO_0000874	0;584;57;172718	1.0	1.0
meo:MEO_0000878	0;14;57;173288	1.0	1.0
meo:MEO_0000880	0;1;57;173301	1.0	1.0
meo:MEO_0000882	0;4;57;173298	1.0	1.0
meo:MEO_0000884	0;3;57;173299	1.0	1.0
meo:MEO_0000885	0;11;57;173291	1.0	1.0
meo:MEO_0000886	0;2;57;173300	1.0	1.0
meo:MEO_0000887	0;10;57;173292	1.0	1.0
meo:MEO_0000889	0;1;57;173301	1.0	1.0
meo:MEO_0000890	0;11;57;173291	1.0	1.0
meo:MEO_0000893	0;21;57;173281	1.0	1.0
meo:MEO_0000900	0;7;57;173295	1.0	1.0
meo:MEO_0000911	0;227;57;173075	1.0	1.0
meo:MEO_0000914	0;1142;57;172160	1.0	1.0
meo:MEO_0000916	0;4;57;173298	1.0	1.0
meo:MEO_0000917	0;1;57;173301	1.0	1.0
meo:MEO_0000918	0;1752;57;171550	1.0	1.0
meo:MEO_0000920	0;44;57;173258	1.0	1.0
meo:MEO_0000935	0;45;57;173257	1.0	1.0
meo:MEO_0000937	0;1;57;173301	1.0	1.0
meo:MEO_0000939	0;37;57;173265	1.0	1.0
meo:MEO_0000940	0;42;57;173260	1.0	1.0
meo:MEO_0000943	0;17;57;173285	1.0	1.0
meo:MEO_0000946	0;6;57;173296	1.0	1.0
meo:MEO_0000947	0;4;57;173298	1.0	1.0
meo:MEO_0000948	0;25;57;173277	1.0	1.0
meo:MEO_0000949	0;9;57;173293	1.0	1.0
meo:MEO_0000950	0;1;57;173301	1.0	1.0
meo:MEO_0000952	0;94;57;173208	1.0	1.0
